Route Number,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
1,27,27,27,27,27,27,27
101,34,34,34,34,34,34,34
103,33,33,33,33,33,33,19
106,35,35,35,35,35,35,35
109,45,45,45,45,45,46,45
109A,42,42,42,42,42,43,42
110,58,58,58,58,58,58,58
117,60,60,60,60,60,60,60
119,56,56,56,56,56,56,56
120,71,71,71,71,71,71,71
121,53,53,53,53,53,53,53
122,17,17,17,17,17,17,17
124,37,37,37,37,37,37,37
13,32,32,32,32,32,32,32
130,10,10,10,10,10,10,10
133,25,25,25,25,25,25,25
135,63,63,63,63,63,63,63
13A,27,27,27,27,27,27,27
14,47,47,47,47,47,45,45
15,16,16,16,16,16,16,16
150,3,3,3,3,3,,
16,50,50,50,50,50,50,50
181,49,49,49,49,49,49,49
182,56,56,56,56,56,56,56
186,40,40,40,40,40,40,40
2,26,26,26,26,26,26,26
201,55,55,55,55,55,55,55
202,56,56,56,56,56,56,56
203,54,54,54,54,54,54,54
204,38,38,38,38,38,38,38
206,38,38,38,38,38,38,38
209,44,44,44,44,44,44,44
21,24,24,24,24,24,24,24
210,43,43,43,43,43,43,43
212,30,30,30,30,30,30,30
213,50,50,50,50,50,50,50
218,43,43,43,43,43,43,43
22,39,39,39,39,39,39,39
221,40,40,40,40,40,40,40
222,53,53,53,53,53,53,53
223,24,24,24,24,24,24,24
225,39,39,39,39,39,39,39
226,38,38,38,38,38,38,38
233,38,38,38,38,38,38,38
238,47,47,47,47,47,37,37
24,39,39,39,39,39,39,39
25,40,40,40,40,40,40,40
250,64,64,64,64,64,64,64
260,46,46,46,46,46,46,46
280,40,40,40,40,40,40,40
3,41,41,41,41,41,41,41
300,10,10,10,10,10,10,10
31,52,52,52,52,52,52,52
32,28,28,28,28,28,28,28
35,41,41,41,41,41,41,41
4,30,30,30,30,30,30,30
41,69,69,69,69,69,69,69
42,142,142,142,142,142,71,71
43,23,23,23,23,23,23,23
44,46,46,46,46,46,46,46
45,49,49,49,49,49,49,49
46,36,36,36,36,36,36,36
47,46,46,46,46,46,46,46
48,48,48,48,48,48,48,48
50,31,31,31,31,31,,
51,52,52,52,52,52,52,52
52,51,51,51,51,51,51,51
53,47,47,47,47,47,47,47
54,34,34,34,34,34,34,34
56,53,53,53,53,53,53,53
58,17,17,17,17,17,17,17
58A,16,16,16,16,16,16,16
61,36,36,36,36,36,36,36
62,35,35,35,35,35,35,35
63,21,21,21,21,21,21,21
64,23,23,23,23,23,23,23
71,37,37,37,37,37,37,37
72,37,37,37,37,37,37,37
73,44,44,44,44,44,44,44
74,36,36,36,36,36,37,36
80,42,42,42,42,42,42,42
82,43,43,43,43,43,43,43
83,25,25,25,25,25,25,25
84,42,42,42,42,42,42,42
85,38,38,38,38,38,38,38
88,35,35,35,35,35,35,35
90,26,26,26,26,26,,
91,44,44,44,44,44,44,44
92,41,41,41,41,41,41,41
93,41,41,41,41,41,41,41
94,44,44,44,44,44,44,44
X1,24,24,24,24,24,24,24
X1A,17,17,17,17,17,,
X2,33,33,33,33,33,33,33
X3,35,35,35,35,35,35,35
X300,7,7,7,7,7,,
X4,34,34,34,34,34,34,34
